@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
118,3137,1,88312,3971,0.956969,0.999681,0.034303,0.999681,0.965697,0.06633,0.958374,1.043102,0
119,3137,1,88279,4004,0.956612,0.999681,0.034316,0.999681,0.965684,0.066354,0.958028,1.043478,0
120,3137,1,88222,4061,0.955994,0.999681,0.034337,0.999681,0.965663,0.066394,0.957431,1.044129,0
121,3137,1,88221,4062,0.955983,0.999681,0.034337,0.999681,0.965663,0.066394,0.95742,1.044141,0
122,3137,1,88170,4113,0.955431,0.999681,0.034357,0.999681,0.965643,0.06643,0.956886,1.044724,0
123,3137,1,88060,4223,0.954239,0.999681,0.034398,0.999681,0.965602,0.066508,0.955733,1.045984,0
124,3137,1,88021,4262,0.953816,0.999681,0.034413,0.999681,0.965587,0.066535,0.955324,1.046431,0
125,3137,1,88017,4266,0.953773,0.999681,0.034414,0.999681,0.965586,0.066538,0.955282,1.046477,0
126,3137,1,87979,4304,0.953361,0.999681,0.034429,0.999681,0.965571,0.066565,0.954884,1.046914,0
127,3137,1,87976,4307,0.953328,0.999681,0.03443,0.999681,0.96557,0.066567,0.954853,1.046948,0
128,3137,1,87975,4308,0.953318,0.999681,0.03443,0.999681,0.96557,0.066568,0.954842,1.04696,0
129,3137,1,87973,4310,0.953296,0.999681,0.034431,0.999681,0.965569,0.066569,0.954821,1.046983,0
130,3137,1,87929,4354,0.952819,0.999681,0.034448,0.999681,0.965552,0.0666,0.95436,1.047489,0
131,3137,1,87890,4393,0.952396,0.999681,0.034462,0.999681,0.965538,0.066628,0.953951,1.047937,0
132,3137,1,87889,4394,0.952386,0.999681,0.034463,0.999681,0.965537,0.066628,0.953941,1.047949,0
133,3137,1,87821,4462,0.951649,0.999681,0.034488,0.999681,0.965512,0.066677,0.953228,1.048732,0
134,3137,1,87777,4506,0.951172,0.999681,0.034505,0.999681,0.965495,0.066708,0.952767,1.04924,0
135,3137,1,87769,4514,0.951085,0.999681,0.034508,0.999681,0.965492,0.066713,0.952683,1.049332,0
136,3137,1,87629,4654,0.949568,0.999681,0.034561,0.999681,0.965439,0.066813,0.951216,1.050951,0
137,3137,1,87627,4656,0.949547,0.999681,0.034562,0.999681,0.965438,0.066814,0.951195,1.050974,0
138,3137,1,87590,4693,0.949146,0.999681,0.034576,0.999681,0.965424,0.066841,0.950807,1.051402,0
139,3137,1,87541,4742,0.948615,0.999681,0.034595,0.999681,0.965405,0.066876,0.950294,1.051971,0
140,3137,1,87488,4795,0.94804,0.999681,0.034615,0.999681,0.965385,0.066913,0.949739,1.052586,0
141,3137,1,87486,4797,0.948019,0.999681,0.034616,0.999681,0.965384,0.066915,0.949718,1.052609,0
142,3137,1,87485,4798,0.948008,0.999681,0.034616,0.999681,0.965384,0.066916,0.949707,1.052621,0
143,3137,1,87484,4799,0.947997,0.999681,0.034617,0.999681,0.965383,0.066916,0.949697,1.052632,0
144,3137,1,87482,4801,0.947975,0.999681,0.034617,0.999681,0.965383,0.066918,0.949676,1.052656,0
145,3137,1,87449,4834,0.947618,0.999681,0.03463,0.999681,0.96537,0.066941,0.94933,1.053039,0
146,3137,1,87445,4838,0.947574,0.999681,0.034632,0.999681,0.965368,0.066944,0.949288,1.053086,0
147,3137,1,87444,4839,0.947563,0.999681,0.034632,0.999681,0.965368,0.066945,0.949277,1.053097,0
148,3137,1,87411,4872,0.947206,0.999681,0.034645,0.999681,0.965355,0.066968,0.948932,1.053481,0
149,3137,1,87375,4908,0.946816,0.999681,0.034658,0.999681,0.965342,0.066994,0.948554,1.0539,0
150,3137,1,87334,4949,0.946371,0.999681,0.034674,0.999681,0.965326,0.067023,0.948125,1.054378,0
151,3137,1,87296,4987,0.94596,0.999681,0.034689,0.999681,0.965311,0.067051,0.947726,1.054821,0
152,3137,1,87247,5036,0.945429,0.999681,0.034707,0.999681,0.965293,0.067086,0.947213,1.055392,0
153,3137,1,87245,5038,0.945407,0.999681,0.034708,0.999681,0.965292,0.067087,0.947192,1.055416,0
154,3137,1,87202,5081,0.944941,0.999681,0.034725,0.999681,0.965275,0.067118,0.946741,1.055918,0
155,3137,1,87163,5120,0.944518,0.999681,0.03474,0.999681,0.96526,0.067146,0.946333,1.056374,0
156,3137,1,87161,5122,0.944497,0.999681,0.034741,0.999681,0.965259,0.067148,0.946312,1.056398,0
157,3137,1,87122,5161,0.944074,0.999681,0.034756,0.999681,0.965244,0.067176,0.945903,1.056854,0
158,3137,1,87097,5186,0.943803,0.999681,0.034765,0.999681,0.965235,0.067194,0.945641,1.057147,0
159,3137,1,87093,5190,0.94376,0.999681,0.034767,0.999681,0.965233,0.067196,0.945599,1.057194,0
160,3137,1,87091,5192,0.943738,0.999681,0.034767,0.999681,0.965233,0.067198,0.945578,1.057217,0
161,3137,1,86998,5285,0.942731,0.999681,0.034803,0.999681,0.965197,0.067265,0.944603,1.058308,0
162,3137,1,86957,5326,0.942286,0.999681,0.034819,0.999681,0.965181,0.067294,0.944174,1.05879,0
163,3137,1,86956,5327,0.942275,0.999681,0.03482,0.999681,0.96518,0.067295,0.944163,1.058801,0
164,3137,1,86953,5330,0.942243,0.999681,0.034821,0.999681,0.965179,0.067297,0.944132,1.058837,0
165,3137,1,86952,5331,0.942232,0.999681,0.034821,0.999681,0.965179,0.067298,0.944121,1.058848,0
166,3137,1,86844,5439,0.941062,0.999681,0.034863,0.999681,0.965137,0.067376,0.942989,1.060119,0
167,3137,1,86812,5471,0.940715,0.999681,0.034875,0.999681,0.965125,0.067399,0.942654,1.060496,0
168,3137,1,86780,5503,0.940368,0.999681,0.034888,0.999681,0.965112,0.067422,0.942319,1.060874,0
169,3137,1,86754,5529,0.940086,0.999681,0.034898,0.999681,0.965102,0.067441,0.942046,1.061181,0
170,3137,1,86687,5596,0.93936,0.999681,0.034924,0.999681,0.965076,0.06749,0.941344,1.061972,0
171,3137,1,86686,5597,0.93935,0.999681,0.034924,0.999681,0.965076,0.067491,0.941334,1.061984,0
172,3137,1,86654,5629,0.939003,0.999681,0.034937,0.999681,0.965063,0.067514,0.940998,1.062363,0
173,3137,1,86648,5635,0.938938,0.999681,0.034939,0.999681,0.965061,0.067518,0.940935,1.062433,0
174,3137,1,86620,5663,0.938634,0.999681,0.03495,0.999681,0.96505,0.067539,0.940642,1.062765,0
175,3137,1,86579,5704,0.93819,0.999681,0.034966,0.999681,0.965034,0.067568,0.940212,1.063251,0
176,3137,1,86553,5730,0.937908,0.999681,0.034976,0.999681,0.965024,0.067587,0.93994,1.063559,0
177,3137,1,86476,5807,0.937074,0.999681,0.035006,0.999681,0.964994,0.067643,0.939133,1.064473,0
178,3137,1,86475,5808,0.937063,0.999681,0.035006,0.999681,0.964994,0.067644,0.939122,1.064485,0
179,3137,1,86405,5878,0.936305,0.999681,0.035034,0.999681,0.964966,0.067695,0.938389,1.065317,0
180,3137,1,86403,5880,0.936283,0.999681,0.035035,0.999681,0.964965,0.067697,0.938368,1.065341,0
181,3137,1,86360,5923,0.935817,0.999681,0.035051,0.999681,0.964949,0.067728,0.937917,1.065852,0
182,3137,1,86296,5987,0.935123,0.999681,0.035077,0.999681,0.964923,0.067775,0.937247,1.066615,0
183,3137,1,86164,6119,0.933693,0.999681,0.035128,0.999681,0.964872,0.067872,0.935863,1.068192,0
184,3137,1,86105,6178,0.933054,0.999681,0.035152,0.999681,0.964848,0.067915,0.935245,1.068898,0
