actual,predict,predict_prob
0,0,5.8133e-08
0,0,6.82549e-08
0,0,8.58094e-08
0,0,1.14375e-07
0,0,1.22785e-07
0,0,1.68878e-07
0,0,1.94456e-07
0,0,2.59651e-07
0,0,3.95779e-07
0,0,6.79461e-07
0,0,1.14811e-06
0,0,1.45091e-06
0,0,3.32229e-06
0,0,7.91207e-06
0,0,2.18329e-05
0,0,0.000105151
0,0,0.000369046
0,0,0.00226864
0,0,0.113233
1,1,0.990041
0,0,0.000811201
0,0,1.53465e-05
0,0,5.88153e-07
0,0,2.12439e-07
0,0,3.80807e-08
0,0,3.10196e-08
0,0,2.96774e-08
0,0,1.4149e-08
0,0,8.48911e-09
0,0,1.06147e-08
0,0,5.80084e-09
0,0,7.52026e-09
0,0,7.8779e-09
0,0,5.92448e-09
0,0,4.88732e-09
0,0,6.18494e-09
0,0,6.74686e-09
0,0,4.42964e-09
0,0,5.87287e-09
0,0,7.15577e-09
0,0,6.30288e-09
0,0,8.99021e-09
0,0,1.22774e-08
0,0,1.08173e-08
0,0,1.1744e-08
0,0,1.5812e-08
0,0,2.14771e-08
0,0,2.68628e-08
0,0,3.52463e-08
0,0,4.33637e-08
0,0,5.60955e-08
0,0,6.153e-08
0,0,7.76268e-08
0,0,1.04259e-07
0,0,1.26415e-07
0,0,1.45682e-07
0,0,2.07908e-07
0,0,2.60001e-07
0,0,4.02434e-07
0,0,6.42101e-07
0,0,8.57937e-07
0,0,1.56016e-06
0,0,2.63636e-06
0,0,4.90407e-06
0,0,2.23125e-05
0,0,9.05049e-05
0,0,0.000459396
0,0,0.0257267
0,1,0.85292
1,1,0.983802
