@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
168,3124,14,74417,17866,0.8064,0.995539,0.040288,0.995539,0.959712,0.077443,0.81262,1.225097,0
169,3124,14,74416,17867,0.806389,0.995539,0.040289,0.995539,0.959711,0.077444,0.812609,1.225113,0
170,3124,14,74415,17868,0.806378,0.995539,0.040289,0.995539,0.959711,0.077445,0.812599,1.225129,0
171,3124,14,74414,17869,0.806367,0.995539,0.04029,0.995539,0.95971,0.077446,0.812588,1.225145,0
172,3124,14,74412,17871,0.806346,0.995539,0.040291,0.995539,0.959709,0.077448,0.812567,1.225176,0
173,3124,14,74409,17874,0.806313,0.995539,0.040293,0.995539,0.959707,0.07745,0.812536,1.225224,0
174,3124,14,74408,17875,0.806302,0.995539,0.040293,0.995539,0.959707,0.077451,0.812526,1.22524,0
175,3124,14,74336,17947,0.805522,0.995539,0.04033,0.995539,0.95967,0.077521,0.811771,1.226379,0
176,3124,14,74333,17950,0.80549,0.995539,0.040332,0.995539,0.959668,0.077523,0.81174,1.226426,0
177,3124,14,74332,17951,0.805479,0.995539,0.040333,0.995539,0.959667,0.077524,0.811729,1.226442,0
178,3124,14,74330,17953,0.805457,0.995539,0.040334,0.995539,0.959666,0.077526,0.811708,1.226474,0
179,3124,14,74329,17954,0.805446,0.995539,0.040334,0.995539,0.959666,0.077527,0.811698,1.226489,0
180,3124,14,74328,17955,0.805435,0.995539,0.040335,0.995539,0.959665,0.077528,0.811687,1.226505,0
181,3124,14,74327,17956,0.805425,0.995539,0.040335,0.995539,0.959665,0.077529,0.811677,1.226521,0
182,3124,14,74319,17964,0.805338,0.995539,0.040339,0.995539,0.959661,0.077537,0.811593,1.226648,0
183,3124,14,74316,17967,0.805305,0.995539,0.040341,0.995539,0.959659,0.07754,0.811561,1.226695,0
184,3124,14,74306,17977,0.805197,0.995539,0.040346,0.995539,0.959654,0.077549,0.811457,1.226854,0
185,3124,14,74304,17979,0.805175,0.995539,0.040347,0.995539,0.959653,0.077551,0.811436,1.226885,0
186,3124,14,74303,17980,0.805165,0.995539,0.040348,0.995539,0.959652,0.077552,0.811425,1.226901,0
187,3124,14,74301,17982,0.805143,0.995539,0.040349,0.995539,0.959651,0.077554,0.811404,1.226933,0
188,3124,14,74300,17983,0.805132,0.995539,0.040349,0.995539,0.959651,0.077555,0.811394,1.226949,0
189,3124,14,74299,17984,0.805121,0.995539,0.04035,0.995539,0.95965,0.077556,0.811383,1.226965,0
190,3124,14,74298,17985,0.80511,0.995539,0.04035,0.995539,0.95965,0.077557,0.811373,1.226981,0
191,3124,14,74297,17986,0.8051,0.995539,0.040351,0.995539,0.959649,0.077558,0.811362,1.226996,0
192,3124,14,74296,17987,0.805089,0.995539,0.040351,0.995539,0.959649,0.077559,0.811352,1.227012,0
193,3124,14,74295,17988,0.805078,0.995539,0.040352,0.995539,0.959648,0.07756,0.811341,1.227028,0
194,3124,14,74294,17989,0.805067,0.995539,0.040352,0.995539,0.959648,0.077561,0.811331,1.227044,0
195,3124,14,74293,17990,0.805056,0.995539,0.040353,0.995539,0.959647,0.077562,0.81132,1.22706,0
196,3124,14,74292,17991,0.805045,0.995539,0.040353,0.995539,0.959647,0.077563,0.81131,1.227076,0
197,3124,14,74291,17992,0.805035,0.995539,0.040354,0.995539,0.959646,0.077564,0.811299,1.227091,0
198,3124,14,74290,17993,0.805024,0.995539,0.040354,0.995539,0.959646,0.077565,0.811289,1.227107,0
199,3124,14,74284,17999,0.804959,0.995539,0.040358,0.995539,0.959642,0.077571,0.811226,1.227202,0
200,3124,14,74283,18000,0.804948,0.995539,0.040358,0.995539,0.959642,0.077572,0.811216,1.227218,0
201,3124,14,74282,18001,0.804937,0.995539,0.040359,0.995539,0.959641,0.077573,0.811205,1.227234,0
202,3124,14,74281,18002,0.804926,0.995539,0.040359,0.995539,0.959641,0.077573,0.811195,1.22725,0
203,3124,14,74280,18003,0.804915,0.995539,0.04036,0.995539,0.95964,0.077574,0.811184,1.227266,0
204,3124,14,74278,18005,0.804894,0.995539,0.040361,0.995539,0.959639,0.077576,0.811163,1.227298,0
205,3124,14,74277,18006,0.804883,0.995539,0.040361,0.995539,0.959639,0.077577,0.811153,1.227313,0
