@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
174,90858,1491,404,2734,0.128744,0.983855,0.995573,0.983855,0.004427,0.989679,0.955753,1.029403,0.857142
175,90852,1497,402,2736,0.128107,0.98379,0.995595,0.98379,0.004405,0.989657,0.955669,1.029425,0.874999
176,90850,1499,402,2736,0.128107,0.983768,0.995595,0.983768,0.004405,0.989646,0.955648,1.029425,0.874999
177,90842,1507,402,2736,0.128107,0.983681,0.995594,0.983681,0.004406,0.989602,0.955565,1.029424,0.888888
178,90841,1508,401,2737,0.127788,0.983671,0.995605,0.983671,0.004395,0.989602,0.955544,1.029436,0.888888
179,90835,1514,399,2739,0.127151,0.983606,0.995627,0.983606,0.004373,0.98958,0.95546,1.029458,0.899999
180,90833,1516,399,2739,0.127151,0.983584,0.995627,0.983584,0.004373,0.989569,0.955439,1.029458,0.899999
181,90832,1517,399,2739,0.127151,0.983573,0.995626,0.983573,0.004374,0.989563,0.955428,1.029458,0.90909
182,90831,1518,399,2739,0.127151,0.983562,0.995626,0.983562,0.004374,0.989558,0.955418,1.029458,0.90909
183,90829,1520,399,2739,0.127151,0.983541,0.995626,0.983541,0.004374,0.989547,0.955397,1.029458,0.92
184,90828,1521,399,2739,0.127151,0.98353,0.995626,0.98353,0.004374,0.989541,0.955387,1.029457,0.923076
185,90826,1523,399,2739,0.127151,0.983508,0.995626,0.983508,0.004374,0.98953,0.955366,1.029457,0.923076
186,90824,1525,399,2739,0.127151,0.983487,0.995626,0.983487,0.004374,0.989519,0.955345,1.029457,0.928571
187,90824,1525,398,2740,0.126832,0.983487,0.995637,0.983487,0.004363,0.989524,0.955334,1.029469,0.933333
188,90822,1527,398,2740,0.126832,0.983465,0.995637,0.983465,0.004363,0.989513,0.955313,1.029468,0.933333
189,90821,1528,398,2740,0.126832,0.983454,0.995637,0.983454,0.004363,0.989508,0.955303,1.029468,0.935484
190,90821,1528,397,2741,0.126514,0.983454,0.995648,0.983454,0.004352,0.989513,0.955292,1.02948,0.937499
191,90820,1529,397,2741,0.126514,0.983443,0.995648,0.983443,0.004352,0.989508,0.955282,1.02948,0.944444
192,90820,1529,396,2742,0.126195,0.983443,0.995659,0.983443,0.004341,0.989513,0.955271,1.029491,0.944444
193,90820,1529,395,2743,0.125876,0.983443,0.99567,0.983443,0.00433,0.989519,0.955261,1.029502,0.947368
194,90818,1531,395,2743,0.125876,0.983422,0.995669,0.983422,0.004331,0.989508,0.95524,1.029502,0.947368
195,90816,1533,395,2743,0.125876,0.9834,0.995669,0.9834,0.004331,0.989497,0.955219,1.029502,0.949999
196,90814,1535,394,2744,0.125558,0.983378,0.99568,0.983378,0.00432,0.989491,0.955188,1.029513,0.949999
197,90808,1541,394,2744,0.125558,0.983313,0.99568,0.983313,0.00432,0.989458,0.955125,1.029513,0.951219
198,90808,1541,393,2745,0.125239,0.983313,0.995691,0.983313,0.004309,0.989463,0.955114,1.029524,0.95238
199,90806,1543,392,2746,0.12492,0.983292,0.995702,0.983292,0.004298,0.989458,0.955083,1.029535,0.95238
200,90805,1544,392,2746,0.12492,0.983281,0.995702,0.983281,0.004298,0.989452,0.955072,1.029535,0.954545
201,90804,1545,392,2746,0.12492,0.98327,0.995702,0.98327,0.004298,0.989447,0.955062,1.029535,0.956521
202,90803,1546,392,2746,0.12492,0.983259,0.995702,0.983259,0.004298,0.989441,0.955051,1.029535,0.958333
203,90803,1546,391,2747,0.124602,0.983259,0.995712,0.983259,0.004288,0.989447,0.955041,1.029547,0.960784
204,90802,1547,391,2747,0.124602,0.983248,0.995712,0.983248,0.004288,0.989441,0.955031,1.029546,0.961538
205,90801,1548,391,2747,0.124602,0.983238,0.995712,0.983238,0.004288,0.989436,0.95502,1.029546,0.961538
206,90801,1548,390,2748,0.124283,0.983238,0.995723,0.983238,0.004277,0.989441,0.95501,1.029558,0.964285
207,90800,1549,390,2748,0.124283,0.983227,0.995723,0.983227,0.004277,0.989435,0.954999,1.029558,0.965517
208,90800,1549,389,2749,0.123964,0.983227,0.995734,0.983227,0.004266,0.989441,0.954989,1.029569,0.966666
209,90799,1550,389,2749,0.123964,0.983216,0.995734,0.983216,0.004266,0.989435,0.954978,1.029569,0.96875
210,90798,1551,389,2749,0.123964,0.983205,0.995734,0.983205,0.004266,0.98943,0.954968,1.029569,0.96875
211,90797,1552,387,2751,0.123327,0.983194,0.995756,0.983194,0.004244,0.989435,0.954936,1.029591,0.96875
212,90797,1552,384,2754,0.122371,0.983194,0.995789,0.983194,0.004211,0.989451,0.954905,1.029625,0.975609
213,90796,1553,384,2754,0.122371,0.983183,0.995789,0.983183,0.004211,0.989446,0.954894,1.029625,0.976744
214,90794,1555,383,2755,0.122052,0.983162,0.995799,0.983162,0.004201,0.98944,0.954863,1.029636,0.977272
215,90793,1556,383,2755,0.122052,0.983151,0.995799,0.983151,0.004201,0.989435,0.954852,1.029636,0.991228
216,90792,1557,383,2755,0.122052,0.98314,0.995799,0.98314,0.004201,0.989429,0.954842,1.029636,0.999996
