@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
187,92230,53,1873,1265,0.596877,0.999426,0.980096,0.999426,0.019904,0.989667,0.986188,1.013424,0.121622
188,92229,54,1873,1265,0.596877,0.999415,0.980096,0.999415,0.019904,0.989661,0.986177,1.013423,0.121739
189,92229,54,1872,1266,0.596558,0.999415,0.980106,0.999415,0.019894,0.989666,0.986167,1.013434,0.123506
190,92229,54,1871,1267,0.59624,0.999415,0.980117,0.999415,0.019883,0.989672,0.986156,1.013445,0.123711
191,92229,54,1869,1269,0.595602,0.999415,0.980138,0.999415,0.019862,0.989682,0.986135,1.013466,0.123932
192,92229,54,1868,1270,0.595284,0.999415,0.980148,0.999415,0.019852,0.989688,0.986125,1.013477,0.124682
193,92229,54,1867,1271,0.594965,0.999415,0.980159,0.999415,0.019841,0.989693,0.986114,1.013488,0.125
194,92229,54,1865,1273,0.594328,0.999415,0.980179,0.999415,0.019821,0.989704,0.986093,1.01351,0.125
195,92229,54,1864,1274,0.594009,0.999415,0.98019,0.999415,0.01981,0.989709,0.986083,1.01352,0.125
196,92229,54,1863,1275,0.59369,0.999415,0.9802,0.999415,0.0198,0.989714,0.986072,1.013531,0.125001
197,92226,57,1853,1285,0.590504,0.999382,0.980304,0.999382,0.019696,0.989751,0.985936,1.013638,0.125001
198,92224,59,1848,1290,0.58891,0.999361,0.980355,0.999361,0.019645,0.989767,0.985863,1.013692,0.125001
199,92223,60,1845,1293,0.587954,0.99935,0.980387,0.99935,0.019613,0.989777,0.985821,1.013724,0.125506
200,92223,60,1844,1294,0.587635,0.99935,0.980397,0.99935,0.019603,0.989783,0.98581,1.013734,0.126126
201,92223,60,1843,1295,0.587317,0.99935,0.980407,0.99935,0.019593,0.989788,0.9858,1.013745,0.126761
202,92223,60,1842,1296,0.586998,0.99935,0.980418,0.99935,0.019582,0.989793,0.985789,1.013756,0.127119
203,92223,60,1841,1297,0.586679,0.99935,0.980428,0.99935,0.019572,0.989799,0.985779,1.013767,0.127451
204,92223,60,1840,1298,0.586361,0.99935,0.980439,0.99935,0.019561,0.989804,0.985768,1.013778,0.128099
205,92223,60,1839,1299,0.586042,0.99935,0.980449,0.99935,0.019551,0.989809,0.985758,1.013788,0.128205
206,92223,60,1838,1300,0.585723,0.99935,0.980459,0.99935,0.019541,0.989815,0.985747,1.013799,0.129033
207,92221,62,1831,1307,0.583493,0.999328,0.980532,0.999328,0.019468,0.989841,0.985653,1.013874,0.129464
208,92221,62,1830,1308,0.583174,0.999328,0.980542,0.999328,0.019458,0.989846,0.985643,1.013885,0.12987
209,92221,62,1829,1309,0.582855,0.999328,0.980553,0.999328,0.019447,0.989852,0.985632,1.013896,0.130252
210,92221,62,1828,1310,0.582537,0.999328,0.980563,0.999328,0.019437,0.989857,0.985622,1.013906,0.130435
211,92221,62,1827,1311,0.582218,0.999328,0.980574,0.999328,0.019426,0.989862,0.985611,1.013917,0.131356
212,92220,63,1827,1311,0.582218,0.999317,0.980574,0.999317,0.019426,0.989857,0.985601,1.013917,0.131915
213,92220,63,1826,1312,0.581899,0.999317,0.980584,0.999317,0.019416,0.989862,0.98559,1.013928,0.132159
214,92220,63,1825,1313,0.581581,0.999317,0.980594,0.999317,0.019406,0.989867,0.98558,1.013939,0.132231
215,92219,64,1825,1313,0.581581,0.999306,0.980594,0.999306,0.019406,0.989862,0.985569,1.013938,0.133334
216,92219,64,1824,1314,0.581262,0.999306,0.980605,0.999306,0.019395,0.989867,0.985559,1.013949,0.133334
217,92219,64,1823,1315,0.580943,0.999306,0.980615,0.999306,0.019385,0.989873,0.985548,1.01396,0.134616
218,92218,65,1823,1315,0.580943,0.999296,0.980615,0.999296,0.019385,0.989867,0.985538,1.01396,0.134783
219,92218,65,1822,1316,0.580625,0.999296,0.980625,0.999296,0.019375,0.989872,0.985527,1.013971,0.135803
220,92218,65,1821,1317,0.580306,0.999296,0.980636,0.999296,0.019364,0.989878,0.985517,1.013981,0.136364
221,92218,65,1819,1319,0.579669,0.999296,0.980657,0.999296,0.019343,0.989888,0.985496,1.014003,0.137255
222,92218,65,1818,1320,0.57935,0.999296,0.980667,0.999296,0.019333,0.989894,0.985485,1.014014,0.137931
223,92218,65,1817,1321,0.579031,0.999296,0.980677,0.999296,0.019323,0.989899,0.985475,1.014024,0.137931
224,92218,65,1816,1322,0.578713,0.999296,0.980688,0.999296,0.019312,0.989904,0.985464,1.014035,0.138393
225,92218,65,1815,1323,0.578394,0.999296,0.980698,0.999296,0.019302,0.98991,0.985454,1.014046,0.139344
226,92218,65,1814,1324,0.578075,0.999296,0.980709,0.999296,0.019291,0.989915,0.985443,1.014057,0.140496
227,92218,65,1813,1325,0.577757,0.999296,0.980719,0.999296,0.019281,0.98992,0.985433,1.014068,0.140969
228,92218,65,1812,1326,0.577438,0.999296,0.98073,0.999296,0.01927,0.989926,0.985422,1.014078,0.142857
229,92218,65,1811,1327,0.577119,0.999296,0.98074,0.999296,0.01926,0.989931,0.985412,1.014089,0.142857
